
########## RESULTS ##########

Round number: 198                 Ave money: $4966.01          Ave winnings: $-33.99
Round number: 200                 Ave money: $4965.57          Ave winnings: $-34.43
Round number: 202                 Ave money: $4965.70          Ave winnings: $-34.30
Round number: 204                 Ave money: $4965.81          Ave winnings: $-34.19
Round number: 206                 Ave money: $4965.97          Ave winnings: $-34.03
Round number: 208                 Ave money: $4966.18          Ave winnings: $-33.82
Round number: 210                 Ave money: $4965.78          Ave winnings: $-34.22
Round number: 212                 Ave money: $4965.35          Ave winnings: $-34.65
Round number: 214                 Ave money: $4965.19          Ave winnings: $-34.81
Round number: 216                 Ave money: $4965.09          Ave winnings: $-34.91
Round number: 218                 Ave money: $4964.58          Ave winnings: $-35.42
Round number: 220                 Ave money: $4963.94          Ave winnings: $-36.06
Round number: 222                 Ave money: $4963.38          Ave winnings: $-36.62
Round number: 224                 Ave money: $4963.10          Ave winnings: $-36.90
Round number: 226                 Ave money: $4962.23          Ave winnings: $-37.77
Round number: 228                 Ave money: $4961.98          Ave winnings: $-38.02
Round number: 230                 Ave money: $4961.86          Ave winnings: $-38.14
Round number: 232                 Ave money: $4961.29          Ave winnings: $-38.71
Round number: 234                 Ave money: $4961.04          Ave winnings: $-38.96
Round number: 236                 Ave money: $4960.50          Ave winnings: $-39.50
Round number: 238                 Ave money: $4959.83          Ave winnings: $-40.17
Round number: 240                 Ave money: $4959.31          Ave winnings: $-40.69
Round number: 242                 Ave money: $4958.54          Ave winnings: $-41.46
Round number: 244                 Ave money: $4958.01          Ave winnings: $-41.99
Round number: 246                 Ave money: $4957.22          Ave winnings: $-42.78
Round number: 248                 Ave money: $4956.79          Ave winnings: $-43.21
Round number: 250                 Ave money: $4956.12          Ave winnings: $-43.88
Round number: 252                 Ave money: $4956.05          Ave winnings: $-43.95
Round number: 254                 Ave money: $4955.20          Ave winnings: $-44.80
Round number: 256                 Ave money: $4955.18          Ave winnings: $-44.82
Round number: 258                 Ave money: $4955.22          Ave winnings: $-44.78
Round number: 260                 Ave money: $4955.36          Ave winnings: $-44.64
Round number: 262                 Ave money: $4955.01          Ave winnings: $-44.99
Round number: 264                 Ave money: $4954.17          Ave winnings: $-45.83
Round number: 266                 Ave money: $4954.40          Ave winnings: $-45.60
Round number: 268                 Ave money: $4954.06          Ave winnings: $-45.94
Round number: 270                 Ave money: $4953.58          Ave winnings: $-46.42
Round number: 272                 Ave money: $4952.75          Ave winnings: $-47.25
Round number: 274                 Ave money: $4952.87          Ave winnings: $-47.13
Round number: 276                 Ave money: $4952.98          Ave winnings: $-47.02
Round number: 278                 Ave money: $4952.57          Ave winnings: $-47.43
Round number: 280                 Ave money: $4952.46          Ave winnings: $-47.54
Round number: 282                 Ave money: $4952.36          Ave winnings: $-47.64
Round number: 284                 Ave money: $4951.94          Ave winnings: $-48.06
Round number: 286                 Ave money: $4952.01          Ave winnings: $-47.99
Round number: 288                 Ave money: $4952.41          Ave winnings: $-47.59
Round number: 290                 Ave money: $4952.15          Ave winnings: $-47.85
Round number: 292                 Ave money: $4952.41          Ave winnings: $-47.59
Round number: 294                 Ave money: $4952.07          Ave winnings: $-47.93
Round number: 296                 Ave money: $4951.45          Ave winnings: $-48.55
Round number: 298                 Ave money: $4951.05          Ave winnings: $-48.95
Round number: 300                 Ave money: $4951.05          Ave winnings: $-48.95
Round number: 302                 Ave money: $4950.74          Ave winnings: $-49.26
Round number: 304                 Ave money: $4950.34          Ave winnings: $-49.66
Round number: 306                 Ave money: $4949.29          Ave winnings: $-50.71
Round number: 308                 Ave money: $4948.61          Ave winnings: $-51.39
Round number: 310                 Ave money: $4948.99          Ave winnings: $-51.01
Round number: 312                 Ave money: $4948.65          Ave winnings: $-51.35
Round number: 314                 Ave money: $4948.00          Ave winnings: $-52.00
Round number: 316                 Ave money: $4947.64          Ave winnings: $-52.36
Round number: 318                 Ave money: $4947.69          Ave winnings: $-52.31
Round number: 320                 Ave money: $4947.97          Ave winnings: $-52.03
Round number: 322                 Ave money: $4947.73          Ave winnings: $-52.27
Round number: 324                 Ave money: $4947.82          Ave winnings: $-52.18
Round number: 326                 Ave money: $4947.81          Ave winnings: $-52.19
Round number: 328                 Ave money: $4947.53          Ave winnings: $-52.47
Round number: 330                 Ave money: $4947.15          Ave winnings: $-52.85
Round number: 332                 Ave money: $4947.19          Ave winnings: $-52.81
Round number: 334                 Ave money: $4946.88          Ave winnings: $-53.12
Round number: 336                 Ave money: $4946.54          Ave winnings: $-53.46
Round number: 338                 Ave money: $4947.03          Ave winnings: $-52.97
Round number: 340                 Ave money: $4946.02          Ave winnings: $-53.98
Round number: 342                 Ave money: $4945.72          Ave winnings: $-54.28
Round number: 344                 Ave money: $4944.81          Ave winnings: $-55.19
Round number: 346                 Ave money: $4944.04          Ave winnings: $-55.96
Round number: 348                 Ave money: $4943.54          Ave winnings: $-56.46
Round number: 350                 Ave money: $4943.39          Ave winnings: $-56.61
Round number: 352                 Ave money: $4942.84          Ave winnings: $-57.16
Round number: 354                 Ave money: $4942.92          Ave winnings: $-57.08
Round number: 356                 Ave money: $4942.06          Ave winnings: $-57.94
Round number: 358                 Ave money: $4941.66          Ave winnings: $-58.34
Round number: 360                 Ave money: $4941.52          Ave winnings: $-58.48
Round number: 362                 Ave money: $4940.84          Ave winnings: $-59.16
Round number: 364                 Ave money: $4940.93          Ave winnings: $-59.07
Round number: 366                 Ave money: $4940.71          Ave winnings: $-59.29
Round number: 368                 Ave money: $4940.52          Ave winnings: $-59.48
Round number: 370                 Ave money: $4939.93          Ave winnings: $-60.07
Round number: 372                 Ave money: $4939.47          Ave winnings: $-60.53
Round number: 374                 Ave money: $4938.89          Ave winnings: $-61.11
Round number: 376                 Ave money: $4938.68          Ave winnings: $-61.32
Round number: 378                 Ave money: $4939.22          Ave winnings: $-60.78
Round number: 380                 Ave money: $4938.70          Ave winnings: $-61.30
Round number: 382                 Ave money: $4938.78          Ave winnings: $-61.22
Round number: 384                 Ave money: $4938.11          Ave winnings: $-61.89
Round number: 386                 Ave money: $4937.32          Ave winnings: $-62.68
Round number: 388                 Ave money: $4936.90          Ave winnings: $-63.10
Round number: 390                 Ave money: $4935.73          Ave winnings: $-64.27
Round number: 392                 Ave money: $4935.80          Ave winnings: $-64.20
Round number: 394                 Ave money: $4935.73          Ave winnings: $-64.27
Round number: 396                 Ave money: $4936.07          Ave winnings: $-63.93
Round number: 398                 Ave money: $4936.02          Ave winnings: $-63.98
Round number: 400                 Ave money: $4936.09          Ave winnings: $-63.91
Round number: 402                 Ave money: $4935.76          Ave winnings: $-64.24
Round number: 404                 Ave money: $4935.64          Ave winnings: $-64.36
Round number: 406                 Ave money: $4935.35          Ave winnings: $-64.65
Round number: 408                 Ave money: $4935.50          Ave winnings: $-64.50
Round number: 410                 Ave money: $4935.18          Ave winnings: $-64.82
Round number: 412                 Ave money: $4934.87          Ave winnings: $-65.13
Round number: 414                 Ave money: $4934.74          Ave winnings: $-65.26
Round number: 416                 Ave money: $4933.41          Ave winnings: $-66.59
Round number: 418                 Ave money: $4932.25          Ave winnings: $-67.75
Round number: 420                 Ave money: $4932.34          Ave winnings: $-67.66
Round number: 422                 Ave money: $4932.06          Ave winnings: $-67.94
Round number: 424                 Ave money: $4931.89          Ave winnings: $-68.11
Round number: 426                 Ave money: $4931.91          Ave winnings: $-68.09
Round number: 428                 Ave money: $4932.07          Ave winnings: $-67.93
Round number: 430                 Ave money: $4931.28          Ave winnings: $-68.72
Round number: 432                 Ave money: $4931.08          Ave winnings: $-68.92
Round number: 434                 Ave money: $4931.07          Ave winnings: $-68.93
Round number: 436                 Ave money: $4930.90          Ave winnings: $-69.10
Round number: 438                 Ave money: $4930.45          Ave winnings: $-69.55
Round number: 440                 Ave money: $4930.42          Ave winnings: $-69.58
Round number: 442                 Ave money: $4930.22          Ave winnings: $-69.78
Round number: 444                 Ave money: $4929.75          Ave winnings: $-70.25
Round number: 446                 Ave money: $4929.90          Ave winnings: $-70.10
Round number: 448                 Ave money: $4929.27          Ave winnings: $-70.73
Round number: 450                 Ave money: $4928.47          Ave winnings: $-71.53
Round number: 452                 Ave money: $4928.76          Ave winnings: $-71.24
Round number: 454                 Ave money: $4928.66          Ave winnings: $-71.34
Round number: 456                 Ave money: $4927.91          Ave winnings: $-72.09
Round number: 458                 Ave money: $4927.60          Ave winnings: $-72.40
Round number: 460                 Ave money: $4928.05          Ave winnings: $-71.95
Round number: 462                 Ave money: $4926.94          Ave winnings: $-73.06
Round number: 464                 Ave money: $4927.07          Ave winnings: $-72.93
Round number: 466                 Ave money: $4927.97          Ave winnings: $-72.03
Round number: 468                 Ave money: $4927.88          Ave winnings: $-72.12
Round number: 470                 Ave money: $4926.68          Ave winnings: $-73.32
Round number: 472                 Ave money: $4926.49          Ave winnings: $-73.51
