
########## RESULTS ##########

Round number: 58200               Ave money: $809.27          Ave winnings: $-4190.73
Round number: 58800               Ave money: $796.43          Ave winnings: $-4203.57
Round number: 59400               Ave money: $781.97          Ave winnings: $-4218.03
Round number: 60000               Ave money: $769.34          Ave winnings: $-4230.66
Round number: 60600               Ave money: $753.94          Ave winnings: $-4246.06
Round number: 61200               Ave money: $744.51          Ave winnings: $-4255.48
Round number: 61800               Ave money: $731.07          Ave winnings: $-4268.93
Round number: 62400               Ave money: $720.23          Ave winnings: $-4279.77
Round number: 63000               Ave money: $709.18          Ave winnings: $-4290.82
Round number: 63600               Ave money: $697.68          Ave winnings: $-4302.32
Round number: 64200               Ave money: $686.77          Ave winnings: $-4313.23
Round number: 64800               Ave money: $679.34          Ave winnings: $-4320.66
Round number: 65400               Ave money: $665.74          Ave winnings: $-4334.26
Round number: 66000               Ave money: $657.20          Ave winnings: $-4342.80
Round number: 66600               Ave money: $648.12          Ave winnings: $-4351.88
Round number: 67200               Ave money: $638.12          Ave winnings: $-4361.88
Round number: 67800               Ave money: $631.32          Ave winnings: $-4368.68
Round number: 68400               Ave money: $624.10          Ave winnings: $-4375.90
Round number: 69000               Ave money: $612.86          Ave winnings: $-4387.15
Round number: 69600               Ave money: $605.91          Ave winnings: $-4394.09
Round number: 70200               Ave money: $597.57          Ave winnings: $-4402.43
Round number: 70800               Ave money: $587.57          Ave winnings: $-4412.43
Round number: 71400               Ave money: $578.81          Ave winnings: $-4421.19
Round number: 72000               Ave money: $569.05          Ave winnings: $-4430.95
Round number: 72600               Ave money: $563.34          Ave winnings: $-4436.66
Round number: 73200               Ave money: $554.83          Ave winnings: $-4445.17
Round number: 73800               Ave money: $547.48          Ave winnings: $-4452.52
Round number: 74400               Ave money: $536.90          Ave winnings: $-4463.10
Round number: 75000               Ave money: $525.58          Ave winnings: $-4474.42
Round number: 75600               Ave money: $519.83          Ave winnings: $-4480.17
Round number: 76200               Ave money: $513.26          Ave winnings: $-4486.74
Round number: 76800               Ave money: $505.35          Ave winnings: $-4494.65
Round number: 77400               Ave money: $494.20          Ave winnings: $-4505.80
Round number: 78000               Ave money: $488.72          Ave winnings: $-4511.28
Round number: 78600               Ave money: $480.85          Ave winnings: $-4519.15
Round number: 79200               Ave money: $475.24          Ave winnings: $-4524.76
Round number: 79800               Ave money: $469.68          Ave winnings: $-4530.32
Round number: 80400               Ave money: $461.70          Ave winnings: $-4538.30
Round number: 81000               Ave money: $455.49          Ave winnings: $-4544.51
Round number: 81600               Ave money: $449.35          Ave winnings: $-4550.65
Round number: 82200               Ave money: $442.70          Ave winnings: $-4557.30
Round number: 82800               Ave money: $436.93          Ave winnings: $-4563.07
Round number: 83400               Ave money: $429.61          Ave winnings: $-4570.39
Round number: 84000               Ave money: $420.07          Ave winnings: $-4579.93
Round number: 84600               Ave money: $412.96          Ave winnings: $-4587.04
Round number: 85200               Ave money: $406.72          Ave winnings: $-4593.28
Round number: 85800               Ave money: $398.46          Ave winnings: $-4601.54
