
########## RESULTS ##########

Round number: 29100               Ave money: $1803.38          Ave winnings: $-3196.62
Round number: 29400               Ave money: $1784.55          Ave winnings: $-3215.45
Round number: 29700               Ave money: $1768.90          Ave winnings: $-3231.10
Round number: 30000               Ave money: $1755.52          Ave winnings: $-3244.48
Round number: 30300               Ave money: $1739.07          Ave winnings: $-3260.93
Round number: 30600               Ave money: $1723.53          Ave winnings: $-3276.47
Round number: 30900               Ave money: $1704.03          Ave winnings: $-3295.97
Round number: 31200               Ave money: $1686.99          Ave winnings: $-3313.01
Round number: 31500               Ave money: $1669.63          Ave winnings: $-3330.37
Round number: 31800               Ave money: $1653.13          Ave winnings: $-3346.87
Round number: 32100               Ave money: $1635.51          Ave winnings: $-3364.49
Round number: 32400               Ave money: $1620.90          Ave winnings: $-3379.10
Round number: 32700               Ave money: $1607.05          Ave winnings: $-3392.95
Round number: 33000               Ave money: $1593.63          Ave winnings: $-3406.37
Round number: 33300               Ave money: $1579.90          Ave winnings: $-3420.10
Round number: 33600               Ave money: $1567.09          Ave winnings: $-3432.91
Round number: 33900               Ave money: $1554.79          Ave winnings: $-3445.21
Round number: 34200               Ave money: $1541.41          Ave winnings: $-3458.59
Round number: 34500               Ave money: $1525.31          Ave winnings: $-3474.69
Round number: 34800               Ave money: $1509.49          Ave winnings: $-3490.51
Round number: 35100               Ave money: $1497.26          Ave winnings: $-3502.74
Round number: 35400               Ave money: $1484.78          Ave winnings: $-3515.22
Round number: 35700               Ave money: $1472.93          Ave winnings: $-3527.07
Round number: 36000               Ave money: $1457.87          Ave winnings: $-3542.13
Round number: 36300               Ave money: $1444.94          Ave winnings: $-3555.06
Round number: 36600               Ave money: $1430.59          Ave winnings: $-3569.41
Round number: 36900               Ave money: $1417.89          Ave winnings: $-3582.11
Round number: 37200               Ave money: $1402.85          Ave winnings: $-3597.15
Round number: 37500               Ave money: $1388.70          Ave winnings: $-3611.30
Round number: 37800               Ave money: $1376.13          Ave winnings: $-3623.87
Round number: 38100               Ave money: $1364.03          Ave winnings: $-3635.97
Round number: 38400               Ave money: $1350.32          Ave winnings: $-3649.68
Round number: 38700               Ave money: $1341.33          Ave winnings: $-3658.67
Round number: 39000               Ave money: $1330.21          Ave winnings: $-3669.79
Round number: 39300               Ave money: $1319.23          Ave winnings: $-3680.77
Round number: 39600               Ave money: $1306.67          Ave winnings: $-3693.33
Round number: 39900               Ave money: $1295.81          Ave winnings: $-3704.19
Round number: 40200               Ave money: $1288.11          Ave winnings: $-3711.89
Round number: 40500               Ave money: $1278.15          Ave winnings: $-3721.85
Round number: 40800               Ave money: $1270.41          Ave winnings: $-3729.59
Round number: 41100               Ave money: $1257.70          Ave winnings: $-3742.30
Round number: 41400               Ave money: $1246.32          Ave winnings: $-3753.68
Round number: 41700               Ave money: $1237.98          Ave winnings: $-3762.02
Round number: 42000               Ave money: $1230.01          Ave winnings: $-3769.99
Round number: 42300               Ave money: $1220.25          Ave winnings: $-3779.75
Round number: 42600               Ave money: $1208.49          Ave winnings: $-3791.51
Round number: 42900               Ave money: $1197.50          Ave winnings: $-3802.50
Round number: 43200               Ave money: $1186.14          Ave winnings: $-3813.86
Round number: 43500               Ave money: $1174.57          Ave winnings: $-3825.43
Round number: 43800               Ave money: $1166.25          Ave winnings: $-3833.75
Round number: 44100               Ave money: $1155.39          Ave winnings: $-3844.61
Round number: 44400               Ave money: $1144.20          Ave winnings: $-3855.80
Round number: 44700               Ave money: $1134.04          Ave winnings: $-3865.96
Round number: 45000               Ave money: $1124.20          Ave winnings: $-3875.80
Round number: 45300               Ave money: $1113.55          Ave winnings: $-3886.45
