
########## RESULTS ##########

Round number: 204                 Ave money: $468.05          Ave winnings: $-31.95
Round number: 206                 Ave money: $468.61          Ave winnings: $-31.39
Round number: 208                 Ave money: $467.98          Ave winnings: $-32.02
Round number: 210                 Ave money: $467.72          Ave winnings: $-32.28
Round number: 212                 Ave money: $468.08          Ave winnings: $-31.92
Round number: 214                 Ave money: $467.87          Ave winnings: $-32.13
Round number: 216                 Ave money: $467.66          Ave winnings: $-32.34
Round number: 218                 Ave money: $467.73          Ave winnings: $-32.27
Round number: 220                 Ave money: $467.85          Ave winnings: $-32.15
Round number: 222                 Ave money: $467.32          Ave winnings: $-32.68
Round number: 224                 Ave money: $466.97          Ave winnings: $-33.03
Round number: 226                 Ave money: $466.62          Ave winnings: $-33.38
Round number: 228                 Ave money: $466.36          Ave winnings: $-33.64
Round number: 230                 Ave money: $465.69          Ave winnings: $-34.31
Round number: 232                 Ave money: $465.38          Ave winnings: $-34.62
Round number: 234                 Ave money: $464.53          Ave winnings: $-35.47
Round number: 236                 Ave money: $464.35          Ave winnings: $-35.65
Round number: 238                 Ave money: $464.36          Ave winnings: $-35.64
Round number: 240                 Ave money: $464.07          Ave winnings: $-35.93
Round number: 242                 Ave money: $463.50          Ave winnings: $-36.50
Round number: 244                 Ave money: $463.92          Ave winnings: $-36.08
Round number: 246                 Ave money: $463.53          Ave winnings: $-36.47
Round number: 248                 Ave money: $463.01          Ave winnings: $-36.99
Round number: 250                 Ave money: $462.85          Ave winnings: $-37.15
Round number: 252                 Ave money: $462.90          Ave winnings: $-37.10
Round number: 254                 Ave money: $462.53          Ave winnings: $-37.47
Round number: 256                 Ave money: $462.23          Ave winnings: $-37.77
Round number: 258                 Ave money: $461.69          Ave winnings: $-38.31
Round number: 260                 Ave money: $461.83          Ave winnings: $-38.17
Round number: 262                 Ave money: $461.55          Ave winnings: $-38.45
Round number: 264                 Ave money: $461.03          Ave winnings: $-38.97
Round number: 266                 Ave money: $460.96          Ave winnings: $-39.04
Round number: 268                 Ave money: $460.82          Ave winnings: $-39.18
Round number: 270                 Ave money: $460.68          Ave winnings: $-39.32
Round number: 272                 Ave money: $460.75          Ave winnings: $-39.25
Round number: 274                 Ave money: $460.81          Ave winnings: $-39.19
Round number: 276                 Ave money: $460.16          Ave winnings: $-39.84
Round number: 278                 Ave money: $459.52          Ave winnings: $-40.48
Round number: 280                 Ave money: $459.19          Ave winnings: $-40.81
Round number: 282                 Ave money: $458.81          Ave winnings: $-41.19
Round number: 284                 Ave money: $459.11          Ave winnings: $-40.89
Round number: 286                 Ave money: $459.21          Ave winnings: $-40.79
Round number: 288                 Ave money: $458.49          Ave winnings: $-41.51
Round number: 290                 Ave money: $458.33          Ave winnings: $-41.67
Round number: 292                 Ave money: $458.16          Ave winnings: $-41.84
Round number: 294                 Ave money: $458.28          Ave winnings: $-41.72
Round number: 296                 Ave money: $458.15          Ave winnings: $-41.85
Round number: 298                 Ave money: $457.33          Ave winnings: $-42.67
Round number: 300                 Ave money: $457.16          Ave winnings: $-42.84
Round number: 302                 Ave money: $456.42          Ave winnings: $-43.58
Round number: 304                 Ave money: $456.36          Ave winnings: $-43.64
Round number: 306                 Ave money: $455.81          Ave winnings: $-44.19
Round number: 308                 Ave money: $456.42          Ave winnings: $-43.58
Round number: 310                 Ave money: $456.11          Ave winnings: $-43.89
